[2013/11/28 16:19:10 WARN]  Couldn't create the top-level output directory at /Users/tharris/Dropbox/Projects/GSA-pipeline/scripts/../output/GSA/149310 (WormbaseLinkTasks::_build_output_root [234])
[2013/11/28 16:19:10 INFO]    Running script ./scripts/03link.pl for GSA-149310 (main:: [63])
[2013/11/28 16:19:10 INFO]    ...getting xml format via GeneralTasks::getXMLFormat (main:: [65])
[2013/11/28 16:19:10 INFO]    ...converting line endings GeneralTasks::convertDosFileToUnixFile (main:: [69])
[2013/11/28 16:19:10 INFO]    ...finding and linking objects in XML (main:: [86])
[2013/11/28 16:19:10 INFO]    Loading lexicon... (WormbaseLinkTasks::loadLexicon [1321])
[2013/11/28 16:19:15 INFO]         Size of lexicon = 1848603 (WormbaseLinkTasks::loadLexicon [1341])
[2013/11/28 16:19:15 INFO]    Linking objects in 149310 (WormbaseLinkTasks::findAndLinkObjects [486])
[2013/11/28 16:19:49 INFO]    ... found Transgene 'wyEx1916' (WormbaseLinkTasks::findAndLinkObjects [529])
[2013/11/28 16:19:49 INFO]       link_entity_in_xml: wyEx1916 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:18 INFO]    ... found Anatomy_name 'ganglion' (WormbaseLinkTasks::findAndLinkObjects [529])
[2013/11/28 16:20:19 INFO]    ... found Transgene 'wyIs157' (WormbaseLinkTasks::findAndLinkObjects [529])
[2013/11/28 16:20:19 INFO]       link_entity_in_xml: wyIs157 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:19 INFO]       link_entity_in_xml: wyIs157 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:19 INFO]       link_entity_in_xml: wyIs157 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:19 INFO]    ... found Transgene 'wyIs154' (WormbaseLinkTasks::findAndLinkObjects [529])
[2013/11/28 16:20:19 INFO]       link_entity_in_xml: wyIs154 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:19 INFO]       link_entity_in_xml: wyIs154 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]    ... found Protein 'UNC-104' (WormbaseLinkTasks::findAndLinkObjects [529])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-104 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-104 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]    ... found Protein 'UNC-116' (WormbaseLinkTasks::findAndLinkObjects [529])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
[2013/11/28 16:20:23 INFO]       link_entity_in_xml: UNC-116 (WormbaseLinkTasks::link_entity_in_xml [656])
